customer_id,customer_state,highest_education,employment_status,gender,income,residence_type,marital_status,sales_channel,coverage,policy,vehicle_class,vehicle_size,monthly_premium,months_policy_active,months_since_last_claim,current_claim_amount,total_claims,total_claims_amount,customer_lifetime_value
GA86186,Oregon,Associate,Employed,Male,62873,Urban,Divorced,Call Center,Extended,Special,Four-Door Car,Midsize,81,13,0,1593,1,1593,-540
GA98025,Arizona,Bachelor,Retired,Male,26121,Suburban,Single,Call Center,Basic,Personal,SUV,Midsize,119,32,12,1727,4,3311,497
GB32334,California,Associate,Employed,Female,24702,Urban,Married,Web,Basic,Personal,Four-Door Car,Large,68,37,13,1928,3,3472,-956
GB35238,California,Bachelor,Employed,Female,33906,Suburban,Married,Branch,Basic,Personal,Two-Door Car,Small,64,52,25,1511,2,2517,811
GB47529,Oregon,High School,Employed,Female,40308,Suburban,Divorced,Web,Extended,Corporate,Sports Car,Midsize,136,31,4,1169,2,1803,2413
GB59748,Arizona,Associate,Employed,Female,49419,Urban,Married,Web,Extended,Personal,Four-Door Car,Midsize,77,17,3,1814,2,2696,-1387
GB68813,Nevada,Bachelor,Medical Leave,Female,12843,Suburban,Single,Branch,Premium,Corporate,Four-Door Car,Small,111,26,6,1437,2,1958,928
GB70718,Arizona,High School,Medical Leave,Female,28646,Suburban,Married,Web,Basic,Personal,Four-Door Car,Small,61,29,11,1640,3,3376,-1607
GB70736,Oregon,Associate,Employed,Female,99553,Rural,Married,Web,Basic,Corporate,Four-Door Car,Midsize,68,42,14,1456,3,2588,268
GB71156,California,Associate,Employed,Male,59624,Suburban,Divorced,Branch,Premium,Corporate,Four-Door Car,Small,117,59,23,2521,2,3240,3663
GB75821,Oregon,Bachelor,Employed,Male,40269,Suburban,Married,Agent,Basic,Personal,Luxury SUV,Small,193,64,32,1771,3,3393,8959
GB94407,California,Associate,Employed,Male,88340,Suburban,Married,Branch,Premium,Corporate,Two-Door Car,Midsize,102,47,16,2013,2,3220,1574
GC15104,Nevada,Bachelor,Employed,Female,52339,Suburban,Divorced,Web,Basic,Corporate,Four-Door Car,Midsize,70,27,7,1653,2,2570,-680
GC17585,Arizona,Bachelor,Employed,Male,25302,Suburban,Married,Branch,Basic,Personal,Four-Door Car,Midsize,70,39,13,1873,3,3381,-651
GC29421,California,High School,Employed,Female,78596,Rural,Divorced,Call Center,Basic,Personal,Four-Door Car,Midsize,73,32,11,1264,3,2990,-654
GC34791,Nevada,High School,Disabled,Male,17109,Suburban,Married,Agent,Basic,Personal,Two-Door Car,Midsize,62,43,7,1642,2,2359,307
GC36679,Oregon,High School,Employed,Male,40778,Suburban,Single,Web,Extended,Personal,Four-Door Car,Midsize,86,35,1,2090,2,3133,-123
GC40999,Oregon,Associate,Retired,Male,25251,Suburban,Divorced,Web,Basic,Personal,Four-Door Car,Midsize,66,41,13,1351,3,2891,-185
GC52187,Nevada,Associate,Employed,Female,88842,Urban,Married,Branch,Extended,Personal,Two-Door Car,Large,90,45,32,1760,3,3232,818
GC81619,Oregon,Master,Employed,Female,79487,Suburban,Divorced,Branch,Basic,Personal,SUV,Midsize,114,38,20,806,2,1565,2767
GC93551,Oregon,High School,Employed,Female,27179,Suburban,Divorced,Branch,Basic,Personal,Four-Door Car,Midsize,66,21,8,1454,2,2439,-1053
GD11927,California,High School,Employed,Male,78185,Suburban,Single,Agent,Basic,Personal,Four-Door Car,Small,61,50,23,2000,3,3606,-556
GD29440,Washington,Bachelor,Retired,Male,18608,Suburban,Divorced,Web,Basic,Personal,Four-Door Car,Midsize,71,46,13,1655,3,3191,75
GD55093,California,Master,Employed,Female,22705,Suburban,Divorced,Agent,Extended,Personal,Luxury SUV,Midsize,239,48,19,1290,3,3500,7972
GD56260,Oregon,Master,Employed,Female,41077,Rural,Married,Agent,Basic,Personal,Two-Door Car,Midsize,71,30,3,917,3,1909,221
GD57363,California,Associate,Employed,Male,38795,Rural,Married,Agent,Basic,Personal,Four-Door Car,Midsize,65,41,23,1872,3,2928,-263
GD59796,Nevada,Associate,Employed,Female,53243,Suburban,Single,Agent,Premium,Personal,Four-Door Car,Small,102,47,26,1204,2,2021,2773
GD59850,Oregon,Associate,Disabled,Female,21299,Suburban,Married,Branch,Basic,Corporate,Four-Door Car,Midsize,69,35,0,1348,1,1348,1067
GD83998,Washington,Bachelor,Employed,Male,24495,Suburban,Single,Branch,Basic,Personal,Four-Door Car,Small,70,41,29,2056,2,2396,474
GD86131,California,Associate,Medical Leave,Female,17576,Suburban,Married,Call Center,Basic,Corporate,Four-Door Car,Midsize,71,50,29,1283,2,2213,1337
GD87742,Oregon,Associate,Employed,Female,58988,Suburban,Married,Web,Basic,Personal,Sports Car,Midsize,118,35,3,1296,4,3255,875
GD89605,Oregon,Master,Employed,Female,59364,Suburban,Married,Agent,Basic,Corporate,Four-Door Car,Small,67,55,25,1289,2,2267,1418
GE20220,Oregon,Bachelor,Employed,Female,47778,Rural,Married,Call Center,Extended,Personal,Four-Door Car,Midsize,96,23,2,1169,3,3107,-899
GE39783,Oregon,Associate,Employed,Female,60752,Suburban,Married,Agent,Basic,Personal,Four-Door Car,Midsize,67,30,4,1328,2,1833,177
GE45663,Arizona,Bachelor,Employed,Female,39854,Urban,Divorced,Web,Basic,Personal,Two-Door Car,Midsize,66,28,6,2092,2,3185,-1337
GE46404,Oregon,Associate,Employed,Female,58828,Suburban,Married,Agent,Basic,Personal,Four-Door Car,Small,68,41,13,1137,3,3331,-543
GE47180,Nevada,High School,Employed,Male,65974,Rural,Married,Agent,Basic,Personal,Sports Car,Midsize,113,20,3,2625,2,3695,-1435
GE58317,Arizona,Associate,Employed,Female,38713,Suburban,Divorced,Call Center,Basic,Personal,Four-Door Car,Midsize,66,55,31,1017,3,2779,851
GE62437,Arizona,Associate,Employed,Female,86584,Suburban,Single,Call Center,Premium,Personal,Four-Door Car,Large,111,60,33,1173,3,2979,3681
GE63585,California,Bachelor,Employed,Male,31710,Urban,Divorced,Call Center,Basic,Corporate,Two-Door Car,Midsize,62,34,5,1667,4,4742,-2634
GE80842,Oregon,Associate,Employed,Female,99159,Suburban,Married,Branch,Basic,Personal,Luxury SUV,Large,190,42,7,1707,3,3879,4101
GE87503,California,High School,Employed,Male,53690,Suburban,Married,Call Center,Premium,Personal,SUV,Small,154,45,20,1663,2,2230,4700
GF12712,California,High School,Employed,Female,40672,Suburban,Divorced,Call Center,Extended,Corporate,SUV,Midsize,121,58,28,1276,2,2403,4615
GF17866,Oregon,Associate,Retired,Male,28142,Suburban,Married,Agent,Basic,Corporate,Sports Car,Midsize,105,34,18,1749,3,3635,-65
GF19726,Oregon,High School,Employed,Male,75952,Suburban,Married,Branch,Basic,Personal,Two-Door Car,Midsize,73,34,5,1995,2,2719,-237
GF38306,Nevada,High School,Employed,Female,96162,Urban,Single,Agent,Extended,Corporate,Four-Door Car,Small,97,37,9,1541,2,2177,1412
GF59560,Oregon,Associate,Employed,Female,86824,Urban,Married,Call Center,Basic,Personal,Four-Door Car,Midsize,72,19,1,1818,2,2599,-1231
GF68713,Oregon,Bachelor,Employed,Male,24695,Suburban,Married,Web,Extended,Personal,Four-Door Car,Large,82,34,0,2252,1,2252,536
GF97874,Washington,Master,Employed,Female,70446,Rural,Married,Call Center,Basic,Personal,Four-Door Car,Midsize,65,67,31,1297,3,3235,1120
GG20671,Nevada,Associate,Employed,Male,43267,Suburban,Married,Agent,Extended,Special,Four-Door Car,Large,78,32,8,2025,2,2778,-282
GG24674,California,High School,Retired,Female,15520,Suburban,Married,Web,Basic,Personal,Two-Door Car,Midsize,66,48,21,1323,2,2134,1034
GG29821,Oregon,Bachelor,Employed,Male,54950,Urban,Married,Web,Basic,Corporate,SUV,Midsize,103,37,25,2187,3,4089,-278
GG70928,California,Master,Employed,Female,33566,Urban,Married,Call Center,Basic,Personal,Four-Door Car,Midsize,63,58,25,2219,4,5522,-1868
GG84614,Oregon,High School,Employed,Female,27435,Suburban,Single,Branch,Extended,Personal,Two-Door Car,Midsize,76,38,9,1251,2,1954,934
GG87344,Oregon,Associate,Employed,Female,55407,Urban,Married,Agent,Basic,Personal,SUV,Midsize,101,64,30,1644,3,2836,3628
GH30325,Oregon,Associate,Employed,Male,27093,Suburban,Married,Branch,Basic,Personal,Four-Door Car,Midsize,61,40,10,2106,3,3482,-1042
GH31245,California,High School,Employed,Female,73274,Urban,Married,Branch,Basic,Corporate,SUV,Midsize,105,32,6,1540,2,2391,969
GH31557,California,High School,Employed,Male,98121,Suburban,Divorced,Web,Basic,Personal,Two-Door Car,Small,67,54,22,2297,2,3439,179
GH35369,California,Associate,Retired,Male,10621,Suburban,Single,Agent,Basic,Personal,Four-Door Car,Midsize,67,52,28,1467,3,3341,143
GH42026,Oregon,Bachelor,Employed,Male,55790,Rural,Single,Branch,Basic,Personal,SUV,Midsize,111,39,4,2285,3,4421,-92
GH48839,California,Associate,Retired,Male,25251,Suburban,Divorced,Web,Basic,Corporate,Four-Door Car,Midsize,66,45,13,1900,2,2718,252
GH49378,California,Bachelor,Employed,Female,67371,Rural,Married,Web,Basic,Personal,Four-Door Car,Midsize,63,43,25,1500,2,2152,557
GH54524,California,High School,Employed,Male,69497,Rural,Married,Agent,Premium,Personal,SUV,Midsize,142,57,30,1814,3,3562,4532
GH64274,California,High School,Employed,Male,22711,Suburban,Married,Branch,Extended,Personal,Two-Door Car,Midsize,82,22,8,1808,2,2482,-678
GH86762,California,Bachelor,Employed,Female,59853,Urban,Single,Web,Extended,Special,SUV,Small,124,42,18,1736,2,2466,2742
GH90738,Oregon,Bachelor,Employed,Female,71176,Urban,Married,Web,Extended,Personal,Two-Door Car,Midsize,91,27,3,1415,2,2136,321
GH94657,California,Bachelor,Disabled,Male,14660,Suburban,Married,Call Center,Basic,Personal,Four-Door Car,Midsize,61,38,14,1624,3,2648,-330
GI14815,Washington,Associate,Employed,Male,55800,Suburban,Married,Agent,Basic,Personal,Two-Door Car,Midsize,66,27,12,1630,2,2442,-660
GI36262,Washington,Associate,Employed,Female,65247,Suburban,Married,Agent,Basic,Corporate,Four-Door Car,Midsize,72,36,14,1221,3,2633,-41
GI55977,Oregon,High School,Medical Leave,Female,28806,Suburban,Married,Call Center,Basic,Personal,Four-Door Car,Small,61,35,13,1233,3,2189,-54
GI68556,California,Bachelor,Employed,Female,41082,Rural,Married,Web,Basic,Personal,Two-Door Car,Midsize,63,51,23,1019,2,1708,1505
GI70742,Oregon,High School,Employed,Female,66466,Urban,Married,Call Center,Basic,Personal,Four-Door Car,Midsize,71,50,20,1819,3,3729,-179
GI89160,California,Bachelor,Employed,Female,56516,Suburban,Married,Call Center,Basic,Personal,Luxury SUV,Midsize,199,62,26,1176,3,2990,9348
GJ31412,Oregon,Bachelor,Employed,Male,99494,Suburban,Married,Agent,Extended,Personal,Four-Door Car,Small,83,30,11,2129,2,2727,-237
GJ43254,Washington,Associate,Employed,Male,89057,Rural,Married,Call Center,Extended,Corporate,Two-Door Car,Midsize,98,38,17,2278,3,3966,-242
GJ47896,Arizona,Associate,Employed,Female,35503,Urban,Married,Branch,Basic,Personal,Two-Door Car,Midsize,67,38,14,2075,2,3033,-487
GJ59592,California,Bachelor,Employed,Female,25134,Suburban,Married,Call Center,Basic,Corporate,Four-Door Car,Small,67,22,3,1282,2,1838,-364
GJ63103,Oregon,High School,Medical Leave,Female,27869,Suburban,Married,Web,Basic,Personal,Two-Door Car,Small,67,53,18,1234,3,2056,1495
GJ79432,Nevada,High School,Employed,Male,26876,Suburban,Single,Agent,Extended,Personal,Four-Door Car,Midsize,76,51,17,1461,2,2325,1551
GJ88864,Nevada,Associate,Employed,Female,30944,Urban,Divorced,Web,Extended,Personal,Four-Door Car,Small,92,51,15,1377,2,2490,2202
GK21260,Oregon,Doctoral,Medical Leave,Female,22821,Suburban,Married,Call Center,Extended,Personal,SUV,Midsize,131,38,26,1241,2,2307,2671
GK24074,Arizona,Associate,Employed,Female,37202,Urban,Married,Branch,Extended,Personal,Two-Door Car,Midsize,93,62,30,1880,2,2906,2860
GK48045,Washington,Associate,Employed,Female,73245,Urban,Married,Branch,Basic,Personal,Four-Door Car,Midsize,68,59,33,2032,2,2744,1268
GK67747,Washington,Associate,Retired,Male,10621,Suburban,Single,Agent,Basic,Special,Four-Door Car,Midsize,67,54,28,1760,3,3402,216
GK72076,Washington,Bachelor,Employed,Female,35457,Suburban,Single,Branch,Premium,Personal,Four-Door Car,Small,105,13,0,1075,1,1075,290
GK73582,California,Bachelor,Employed,Female,64586,Urban,Single,Branch,Extended,Personal,Four-Door Car,Midsize,76,20,3,1972,2,2653,-1133
GK94889,California,Associate,Employed,Male,22280,Rural,Married,Web,Basic,Personal,Four-Door Car,Large,68,33,10,1456,3,2996,-752
GL33494,Oregon,Master,Employed,Female,31530,Suburban,Married,Branch,Basic,Personal,Two-Door Car,Midsize,69,48,24,820,2,1520,1792
GL34504,California,High School,Employed,Female,65103,Suburban,Married,Branch,Premium,Personal,Four-Door Car,Small,115,44,29,1084,2,2165,2895
GL44478,Oregon,High School,Disabled,Male,24067,Suburban,Single,Branch,Extended,Corporate,Sports Car,Midsize,132,31,12,1724,3,3514,578
GL49408,California,Doctoral,Employed,Male,40372,Rural,Married,Branch,Extended,Corporate,Four-Door Car,Midsize,85,41,15,1674,2,2650,835
GL54755,Washington,Bachelor,Employed,Female,59578,Urban,Married,Branch,Extended,Corporate,Four-Door Car,Midsize,98,13,1,1760,2,2437,-1163
GL56175,Arizona,Associate,Employed,Male,79298,Urban,Married,Call Center,Extended,Personal,Four-Door Car,Midsize,90,57,22,1618,2,2376,2754
GL66847,Arizona,Bachelor,Employed,Female,62902,Rural,Married,Web,Basic,Personal,Two-Door Car,Midsize,69,31,14,1349,2,2294,-155
GL67540,California,Associate,Employed,Female,97413,Urban,Married,Agent,Basic,Personal,Four-Door Car,Midsize,73,55,21,1316,2,2106,1909
GL69461,Oregon,Associate,Employed,Female,99961,Suburban,Married,Agent,Basic,Personal,Four-Door Car,Midsize,66,21,6,1057,2,2057,-671
GL82358,Nevada,High School,Employed,Female,43860,Rural,Single,Agent,Basic,Corporate,Four-Door Car,Midsize,65,49,15,1044,3,2046,1139
GL99349,California,High School,Employed,Male,95621,Suburban,Married,Web,Basic,Personal,Two-Door Car,Small,66,36,7,2010,2,3020,-644
GM16780,Oregon,Associate,Employed,Male,90330,Rural,Single,Call Center,Extended,Corporate,Sports Car,Midsize,137,20,0,2495,1,2495,245
GM37281,California,Bachelor,Employed,Female,76731,Urban,Married,Agent,Basic,Personal,Four-Door Car,Midsize,64,27,2,1671,2,2416,-688
GM46746,Arizona,High School,Employed,Female,86205,Suburban,Single,Agent,Extended,Personal,Luxury Car,Small,223,29,8,1334,2,1923,4544
GM62071,Washington,High School,Employed,Female,20668,Suburban,Married,Call Center,Basic,Personal,Luxury Car,Large,188,65,34,1434,4,4659,7561
GM63998,Oregon,Doctoral,Employed,Female,45173,Suburban,Married,Call Center,Premium,Personal,Luxury Car,Midsize,268,38,20,893,2,1694,8490
GM70734,California,Associate,Medical Leave,Female,29095,Urban,Divorced,Agent,Extended,Corporate,Two-Door Car,Midsize,91,48,29,1838,2,2509,1859
GM83516,Arizona,Associate,Employed,Male,29500,Suburban,Divorced,Agent,Basic,Corporate,Four-Door Car,Midsize,67,45,14,2102,3,4088,-1073
GM84292,California,Master,Employed,Female,38401,Suburban,Married,Agent,Extended,Corporate,Four-Door Car,Midsize,92,31,17,1270,3,3190,-338
GM88979,Oregon,Associate,Employed,Female,54050,Suburban,Married,Call Center,Premium,Personal,Two-Door Car,Large,119,30,5,1146,3,2672,898
GN18675,California,Bachelor,Employed,Male,70784,Rural,Married,Branch,Basic,Special,Four-Door Car,Midsize,64,30,0,2007,1,2007,-87
GN36177,Nevada,Bachelor,Employed,Male,43626,Suburban,Divorced,Call Center,Basic,Personal,Two-Door Car,Small,67,25,9,2034,3,4166,-2491
GN45013,Oregon,High School,Medical Leave,Male,29664,Suburban,Married,Agent,Basic,Personal,Four-Door Car,Midsize,71,14,1,1638,2,2550,-1556
GN46207,Oregon,Master,Employed,Female,29462,Suburban,Single,Branch,Basic,Personal,SUV,Large,107,43,28,985,2,2293,2308
GN61665,Arizona,Bachelor,Employed,Male,47170,Suburban,Married,Agent,Extended,Corporate,Sports Car,Midsize,139,26,4,1748,2,2659,955
GN93462,California,Bachelor,Employed,Male,89285,Rural,Married,Call Center,Extended,Personal,Four-Door Car,Midsize,81,59,25,1785,3,3693,1086
GO14008,Oregon,Bachelor,Employed,Female,73775,Suburban,Divorced,Agent,Basic,Personal,Four-Door Car,Midsize,67,36,14,1327,3,2719,-307
GO27855,Oregon,Associate,Employed,Female,64600,Rural,Married,Web,Extended,Personal,Four-Door Car,Small,86,38,22,1343,3,2879,389
GO36627,Arizona,Associate,Employed,Male,21880,Urban,Married,Branch,Extended,Special,Four-Door Car,Midsize,97,55,29,1908,2,2522,2813
GO42840,Oregon,High School,Employed,Male,87492,Urban,Married,Agent,Basic,Personal,Two-Door Car,Midsize,62,37,15,1604,2,2351,-57
GO44613,Nevada,High School,Medical Leave,Female,19168,Suburban,Married,Branch,Basic,Personal,SUV,Midsize,106,39,12,1110,2,1663,2471
GO53814,Oregon,High School,Employed,Female,43358,Suburban,Married,Branch,Basic,Corporate,Two-Door Car,Small,61,29,2,1271,3,3673,-1904
GO80206,Arizona,Bachelor,Employed,Female,23737,Suburban,Married,Agent,Basic,Personal,Four-Door Car,Small,62,43,10,1636,2,2587,79
GO86980,Oregon,Bachelor,Employed,Female,56334,Suburban,Married,Call Center,Basic,Corporate,Two-Door Car,Small,65,59,35,1439,2,2211,1624
GO94903,Oregon,Associate,Medical Leave,Female,12964,Suburban,Single,Web,Basic,Personal,Two-Door Car,Midsize,65,33,2,1230,2,1504,641
GP18756,California,Associate,Medical Leave,Male,19592,Suburban,Divorced,Web,Extended,Personal,Four-Door Car,Midsize,92,63,31,1480,2,2137,3659
GP19791,California,Associate,Employed,Female,31356,Suburban,Married,Agent,Basic,Personal,Two-Door Car,Small,68,39,25,1458,2,2261,391
GP20237,Nevada,Bachelor,Employed,Female,29286,Suburban,Married,Call Center,Basic,Personal,Four-Door Car,Small,69,38,5,1472,3,2722,-100
GP20408,Oregon,Associate,Employed,Female,94903,Suburban,Married,Agent,Extended,Personal,Two-Door Car,Small,94,36,3,1246,2,2106,1278
GP22382,Oregon,Associate,Employed,Female,21685,Suburban,Single,Web,Extended,Corporate,Sports Car,Large,127,20,0,1266,1,1266,1274
GP37412,Arizona,Associate,Employed,Female,59763,Suburban,Married,Agent,Basic,Personal,Two-Door Car,Small,73,19,4,1409,2,1990,-603
GP40701,California,Bachelor,Employed,Female,79780,Suburban,Married,Web,Basic,Personal,Four-Door Car,Midsize,68,37,11,1462,3,3296,-780
GP42026,California,High School,Retired,Male,19683,Suburban,Married,Web,Basic,Personal,Sports Car,Midsize,117,36,17,1737,3,3977,235
GP56044,Washington,High School,Employed,Male,84306,Suburban,Married,Agent,Extended,Personal,SUV,Large,137,30,16,1904,2,2667,1443
GP66031,California,Associate,Employed,Female,83758,Rural,Married,Agent,Basic,Corporate,Two-Door Car,Midsize,64,48,27,1399,2,2188,884
GP67583,Arizona,Associate,Employed,Male,35349,Suburban,Married,Web,Premium,Personal,Four-Door Car,Midsize,102,40,7,2339,2,3259,821
GP67816,California,High School,Employed,Female,60233,Urban,Married,Branch,Premium,Personal,Two-Door Car,Midsize,116,45,29,2015,2,2812,2408
GP83239,California,Associate,Employed,Male,58414,Suburban,Single,Agent,Extended,Personal,Luxury SUV,Small,210,25,7,2676,3,4304,946
GP85044,Arizona,Bachelor,Employed,Male,91967,Rural,Married,Agent,Basic,Special,SUV,Midsize,113,36,4,1834,2,2556,1512
GP87031,California,Associate,Medical Leave,Female,23554,Suburban,Divorced,Web,Extended,Corporate,Four-Door Car,Small,86,42,7,1213,3,2659,953
GQ11852,Oregon,Associate,Employed,Female,39017,Urban,Married,Call Center,Premium,Personal,SUV,Midsize,170,37,10,1479,2,2230,4060
GQ15613,Arizona,High School,Employed,Female,54008,Suburban,Married,Branch,Basic,Personal,Four-Door Car,Midsize,67,33,18,1283,3,3335,-1124
GQ15708,Oregon,Bachelor,Medical Leave,Male,29790,Suburban,Married,Agent,Basic,Personal,Luxury SUV,Midsize,194,57,25,1497,2,2093,8965
GQ20713,Nevada,Associate,Employed,Female,38713,Suburban,Divorced,Call Center,Basic,Personal,Four-Door Car,Midsize,66,53,31,1423,2,2167,1331
GQ21970,Nevada,Bachelor,Disabled,Female,17257,Suburban,Single,Call Center,Basic,Personal,Four-Door Car,Small,70,30,1,810,4,3393,-1293
GQ46925,Arizona,High School,Employed,Male,77563,Urban,Married,Call Center,Premium,Personal,Sports Car,Midsize,143,68,35,1676,2,2381,7343
GQ57207,California,Bachelor,Disabled,Female,19864,Suburban,Divorced,Web,Basic,Personal,Four-Door Car,Midsize,63,50,22,1012,4,2974,176
GQ66762,California,Associate,Employed,Male,33701,Urban,Single,Agent,Basic,Personal,Four-Door Car,Small,63,42,16,1657,2,2308,338
GQ78238,Oregon,High School,Employed,Male,65167,Suburban,Married,Call Center,Extended,Personal,SUV,Midsize,131,40,22,2097,2,2973,2267
GR12431,California,Associate,Employed,Female,66216,Rural,Single,Web,Basic,Personal,Sports Car,Midsize,103,59,34,1270,2,2264,3813
GR26937,Oregon,Master,Employed,Female,47197,Rural,Married,Agent,Extended,Corporate,Four-Door Car,Midsize,81,36,19,1135,2,1602,1314
GR31499,Oregon,Master,Employed,Female,23692,Suburban,Married,Agent,Basic,Personal,Two-Door Car,Midsize,65,49,26,1208,4,4229,-1044
GR49281,California,Bachelor,Employed,Male,75644,Suburban,Divorced,Branch,Basic,Personal,Two-Door Car,Midsize,65,23,5,1838,3,3360,-1865
GR53936,Oregon,Bachelor,Employed,Female,28909,Suburban,Married,Agent,Basic,Corporate,Two-Door Car,Midsize,66,32,15,1160,3,2556,-444
GR62267,Washington,Associate,Employed,Female,44705,Rural,Divorced,Branch,Basic,Personal,Two-Door Car,Midsize,71,42,21,1401,2,1832,1150
GR76453,Oregon,High School,Employed,Male,82093,Urban,Divorced,Branch,Basic,Personal,Four-Door Car,Midsize,62,29,17,2033,2,2756,-958
GR90142,Oregon,Associate,Employed,Female,94903,Suburban,Married,Agent,Extended,Personal,Two-Door Car,Small,94,35,3,1095,3,2851,439
GS26763,California,Bachelor,Employed,Female,39669,Suburban,Married,Agent,Extended,Personal,Two-Door Car,Small,98,37,13,1137,2,1668,1958
GS44464,California,High School,Employed,Female,82477,Suburban,Married,Agent,Extended,Personal,Two-Door Car,Large,90,23,1,1068,2,1688,382
GS69842,Arizona,Bachelor,Employed,Female,36615,Urban,Married,Call Center,Basic,Special,Four-Door Car,Midsize,65,35,14,1871,4,3617,-1342
GS76685,California,High School,Retired,Male,20228,Suburban,Divorced,Branch,Basic,Corporate,SUV,Midsize,101,34,3,1865,3,3089,345
GS98873,Arizona,Bachelor,Disabled,Female,16061,Suburban,Single,Web,Extended,Personal,Four-Door Car,Midsize,88,56,26,1271,2,2060,2868
GT14584,Oregon,Associate,Employed,Female,75272,Rural,Married,Call Center,Basic,Personal,SUV,Midsize,103,46,22,1465,4,3853,885
GT17701,Oregon,Bachelor,Employed,Female,42987,Rural,Divorced,Web,Extended,Personal,Four-Door Car,Small,77,35,14,1416,2,2321,374
GT18023,California,High School,Employed,Female,86195,Urban,Married,Agent,Extended,Special,SUV,Midsize,139,42,12,1827,2,2703,3135
GT18396,Arizona,Associate,Employed,Male,48642,Rural,Married,Branch,Extended,Personal,Four-Door Car,Midsize,77,59,23,2024,2,2533,2010
GT19025,Oregon,Bachelor,Medical Leave,Female,25407,Urban,Divorced,Branch,Extended,Personal,Four-Door Car,Midsize,98,32,2,2150,2,2698,438
GT37101,Oregon,High School,Employed,Female,37640,Urban,Divorced,Call Center,Basic,Personal,Two-Door Car,Midsize,67,61,25,1873,3,3557,530
GT54462,Arizona,Bachelor,Employed,Male,73222,Urban,Married,Call Center,Premium,Personal,SUV,Large,180,56,24,1627,3,3797,6283
GT62080,Washington,High School,Employed,Male,55561,Urban,Divorced,Call Center,Basic,Personal,Four-Door Car,Midsize,63,18,2,1590,2,2181,-1047
GT65065,Oregon,Master,Employed,Female,42142,Urban,Single,Branch,Basic,Personal,Sports Car,Midsize,112,21,1,1498,3,2926,-574
GT65478,Oregon,Associate,Employed,Female,84815,Urban,Married,Agent,Basic,Personal,Four-Door Car,Midsize,68,42,9,2025,2,2512,344
GT89774,Arizona,Bachelor,Employed,Female,87139,Rural,Married,Agent,Extended,Personal,Luxury SUV,Midsize,213,32,18,1194,2,1714,5102
GT97121,California,Associate,Disabled,Male,15999,Suburban,Married,Branch,Extended,Personal,Four-Door Car,Midsize,83,14,2,1278,2,2001,-839
GU18646,Oregon,Bachelor,Employed,Male,58007,Suburban,Single,Agent,Extended,Special,Two-Door Car,Small,81,42,23,1196,2,1956,1446
GU33167,Oregon,Associate,Employed,Male,53997,Suburban,Married,Branch,Basic,Personal,Four-Door Car,Midsize,69,51,26,2313,2,3249,270
GU41036,Oregon,High School,Disabled,Male,13411,Suburban,Married,Branch,Extended,Personal,SUV,Midsize,127,54,27,1465,2,1996,4862
GU41198,California,Bachelor,Employed,Female,62421,Suburban,Divorced,Call Center,Extended,Corporate,Four-Door Car,Midsize,80,56,22,1305,2,1917,2563
GU42084,Arizona,Bachelor,Employed,Male,44537,Urban,Married,Branch,Basic,Corporate,Sports Car,Small,106,30,13,2016,2,2688,492
GU42671,Arizona,Bachelor,Medical Leave,Female,16654,Suburban,Married,Branch,Extended,Personal,Four-Door Car,Midsize,79,54,23,1196,2,2042,2224
GU56606,Nevada,Bachelor,Employed,Male,20283,Suburban,Divorced,Branch,Extended,Personal,Two-Door Car,Midsize,77,33,7,2352,2,3183,-642
GU60969,Arizona,Bachelor,Retired,Male,19581,Suburban,Single,Agent,Basic,Corporate,Four-Door Car,Large,67,29,2,1748,2,2548,-605
GU65780,California,Doctoral,Employed,Male,70837,Suburban,Married,Agent,Basic,Personal,Four-Door Car,Small,73,26,7,1799,2,2699,-801
GU66096,Arizona,High School,Employed,Male,94731,Suburban,Married,Agent,Basic,Personal,Four-Door Car,Midsize,67,44,23,1877,3,3171,-223
GU82475,California,Associate,Employed,Male,24919,Suburban,Married,Call Center,Extended,Personal,Four-Door Car,Small,84,50,21,2111,3,2771,1429
GU84478,Oregon,High School,Employed,Male,48207,Urban,Married,Branch,Basic,Personal,Four-Door Car,Midsize,63,53,28,1621,2,2468,871
GU91528,Oregon,High School,Disabled,Female,11904,Suburban,Single,Web,Basic,Personal,Two-Door Car,Small,61,58,34,1164,3,3234,304
GU92938,Nevada,Bachelor,Disabled,Female,25612,Suburban,Married,Call Center,Basic,Personal,Two-Door Car,Small,61,38,12,1633,2,2153,165
GU96042,California,High School,Employed,Male,58268,Urban,Married,Agent,Basic,Corporate,Two-Door Car,Midsize,67,39,12,1707,2,2438,175
GU99037,Oregon,Associate,Employed,Male,79898,Urban,Married,Agent,Basic,Corporate,Four-Door Car,Midsize,62,23,5,2017,2,2937,-1511
GV21882,Nevada,High School,Medical Leave,Female,20799,Urban,Single,Call Center,Basic,Personal,Sports Car,Midsize,111,51,20,1582,2,2485,3176
GV33313,Arizona,Bachelor,Employed,Female,35625,Urban,Married,Agent,Basic,Personal,Four-Door Car,Midsize,65,27,10,1479,3,2875,-1120
GV35061,Oregon,High School,Employed,Male,69346,Urban,Married,Branch,Basic,Special,Two-Door Car,Midsize,63,57,27,1894,3,3318,273
GV39658,Arizona,Associate,Medical Leave,Female,10563,Rural,Divorced,Branch,Extended,Corporate,SUV,Midsize,121,36,20,1091,2,1997,2359
